run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20240512-14:59:51-31577,runattr,,,configname,General,,
General-0-20240512-14:59:51-31577,runattr,,,datetime,20240512-14:59:51,,
General-0-20240512-14:59:51-31577,runattr,,,datetimef,20240512-145951,,
General-0-20240512-14:59:51-31577,runattr,,,experiment,General,,
General-0-20240512-14:59:51-31577,runattr,,,inifile,omnetpp.ini,,
General-0-20240512-14:59:51-31577,runattr,,,iterationvars,,,
General-0-20240512-14:59:51-31577,runattr,,,iterationvarsd,,,
General-0-20240512-14:59:51-31577,runattr,,,iterationvarsf,,,
General-0-20240512-14:59:51-31577,runattr,,,measurement,,,
General-0-20240512-14:59:51-31577,runattr,,,network,Network,,
General-0-20240512-14:59:51-31577,runattr,,,processid,31577,,
General-0-20240512-14:59:51-31577,runattr,,,repetition,0,,
General-0-20240512-14:59:51-31577,runattr,,,replication,#0,,
General-0-20240512-14:59:51-31577,runattr,,,resultdir,results,,
General-0-20240512-14:59:51-31577,runattr,,,runnumber,0,,
General-0-20240512-14:59:51-31577,runattr,,,seedset,0,,
General-0-20240512-14:59:51-31577,config,,,network,Network,,
General-0-20240512-14:59:51-31577,config,,,sim-time-limit,200s,,
General-0-20240512-14:59:51-31577,config,,,Network.nodeTx.gen.generationInterval,exponential(0.8),,
General-0-20240512-14:59:51-31577,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20240512-14:59:51-31577,config,,,Network.queue.bufferSize,200,,
General-0-20240512-14:59:51-31577,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20240512-14:59:51-31577,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20240512-14:59:51-31577,config,,,Network.queue.serviceTime,exponential(0.001),,
General-0-20240512-14:59:51-31577,config,,,Network.nodeTx.queue.serviceTime,exponential(0.001),,
General-0-20240512-14:59:51-31577,config,,,Network.nodeRx.queue.serviceTime,exponential(0.001),,
