run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20240512-15:01:53-31981,runattr,,,configname,General,,
General-0-20240512-15:01:53-31981,runattr,,,datetime,20240512-15:01:53,,
General-0-20240512-15:01:53-31981,runattr,,,datetimef,20240512-150153,,
General-0-20240512-15:01:53-31981,runattr,,,experiment,General,,
General-0-20240512-15:01:53-31981,runattr,,,inifile,omnetpp.ini,,
General-0-20240512-15:01:53-31981,runattr,,,iterationvars,,,
General-0-20240512-15:01:53-31981,runattr,,,iterationvarsd,,,
General-0-20240512-15:01:53-31981,runattr,,,iterationvarsf,,,
General-0-20240512-15:01:53-31981,runattr,,,measurement,,,
General-0-20240512-15:01:53-31981,runattr,,,network,Network,,
General-0-20240512-15:01:53-31981,runattr,,,processid,31981,,
General-0-20240512-15:01:53-31981,runattr,,,repetition,0,,
General-0-20240512-15:01:53-31981,runattr,,,replication,#0,,
General-0-20240512-15:01:53-31981,runattr,,,resultdir,results,,
General-0-20240512-15:01:53-31981,runattr,,,runnumber,0,,
General-0-20240512-15:01:53-31981,runattr,,,seedset,0,,
General-0-20240512-15:01:53-31981,config,,,network,Network,,
General-0-20240512-15:01:53-31981,config,,,sim-time-limit,200s,,
General-0-20240512-15:01:53-31981,config,,,Network.nodeTx.gen.generationInterval,exponential(1.6),,
General-0-20240512-15:01:53-31981,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20240512-15:01:53-31981,config,,,Network.queue.bufferSize,200,,
General-0-20240512-15:01:53-31981,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20240512-15:01:53-31981,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20240512-15:01:53-31981,config,,,Network.queue.serviceTime,exponential(0.001),,
General-0-20240512-15:01:53-31981,config,,,Network.nodeTx.queue.serviceTime,exponential(0.001),,
General-0-20240512-15:01:53-31981,config,,,Network.nodeRx.queue.serviceTime,exponential(0.001),,
