run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20240512-15:31:28-36251,runattr,,,configname,General,,
General-0-20240512-15:31:28-36251,runattr,,,datetime,20240512-15:31:28,,
General-0-20240512-15:31:28-36251,runattr,,,datetimef,20240512-153128,,
General-0-20240512-15:31:28-36251,runattr,,,experiment,General,,
General-0-20240512-15:31:28-36251,runattr,,,inifile,omnetpp.ini,,
General-0-20240512-15:31:28-36251,runattr,,,iterationvars,,,
General-0-20240512-15:31:28-36251,runattr,,,iterationvarsd,,,
General-0-20240512-15:31:28-36251,runattr,,,iterationvarsf,,,
General-0-20240512-15:31:28-36251,runattr,,,measurement,,,
General-0-20240512-15:31:28-36251,runattr,,,network,Network,,
General-0-20240512-15:31:28-36251,runattr,,,processid,36251,,
General-0-20240512-15:31:28-36251,runattr,,,repetition,0,,
General-0-20240512-15:31:28-36251,runattr,,,replication,#0,,
General-0-20240512-15:31:28-36251,runattr,,,resultdir,results,,
General-0-20240512-15:31:28-36251,runattr,,,runnumber,0,,
General-0-20240512-15:31:28-36251,runattr,,,seedset,0,,
General-0-20240512-15:31:28-36251,config,,,network,Network,,
General-0-20240512-15:31:28-36251,config,,,sim-time-limit,200s,,
General-0-20240512-15:31:28-36251,config,,,Network.nodeTx.gen.generationInterval,exponential(3.2),,
General-0-20240512-15:31:28-36251,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20240512-15:31:28-36251,config,,,Network.queue0.bufferSize,200,,
General-0-20240512-15:31:28-36251,config,,,Network.queue1.bufferSize,200,,
General-0-20240512-15:31:28-36251,config,,,Network.nodeRx.traRx.bufferSize,200,,
General-0-20240512-15:31:28-36251,config,,,Network.nodeTx.traTx.bufferSize,2000000,,
General-0-20240512-15:31:28-36251,config,,,Network.nodeRx.traRx.bufferCota,0.5,,
General-0-20240512-15:31:28-36251,config,,,Network.queue0.bufferCota,0.8,,
General-0-20240512-15:31:28-36251,config,,,Network.queue1.bufferCota,1,,
General-0-20240512-15:31:28-36251,config,,,Network.queue0.serviceTime,exponential(0.001),,
General-0-20240512-15:31:28-36251,config,,,Network.queue1.serviceTime,exponential(0.001),,
General-0-20240512-15:31:28-36251,vector,Network.nodeTx.gen,packetSent,,,"0 4.018978425752 9.969711904391 12.924025925098 19.168970999928 21.68801464787 27.700699621319 29.464054778664 32.590475343123 35.912585105247 37.464995229156 39.306656659182 40.436765904422 47.552044054938 47.738874996036 58.346594291807 59.365333942501 60.912860678336 62.991088992739 68.011556569133 73.362632410173 75.771189572774 77.863613787882 80.549798917163 82.146189346014 90.460602420731 96.247384066411 96.483177203899 97.800226791875 98.091942075473 101.434702102059 101.500063984936 102.969658024153 108.689618547157 118.77016231892 123.58867194656 124.072610678288 130.601616303702 137.13247139462 149.437181375874 151.490650728444 156.627417311041 161.792223950697 163.772798221502 166.124684369309 170.977599486078 174.612604099551 175.015402209753 179.096130856869 182.364712854786 185.156140678921 185.651275656521 188.117946563616 197.380092093175","0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53"
