run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20240511-23:09:54-104022,runattr,,,configname,General,,
General-0-20240511-23:09:54-104022,runattr,,,datetime,20240511-23:09:54,,
General-0-20240511-23:09:54-104022,runattr,,,datetimef,20240511-230954,,
General-0-20240511-23:09:54-104022,runattr,,,experiment,General,,
General-0-20240511-23:09:54-104022,runattr,,,inifile,omnetpp.ini,,
General-0-20240511-23:09:54-104022,runattr,,,iterationvars,,,
General-0-20240511-23:09:54-104022,runattr,,,iterationvarsd,,,
General-0-20240511-23:09:54-104022,runattr,,,iterationvarsf,,,
General-0-20240511-23:09:54-104022,runattr,,,measurement,,,
General-0-20240511-23:09:54-104022,runattr,,,network,Network,,
General-0-20240511-23:09:54-104022,runattr,,,processid,104022,,
General-0-20240511-23:09:54-104022,runattr,,,repetition,0,,
General-0-20240511-23:09:54-104022,runattr,,,replication,#0,,
General-0-20240511-23:09:54-104022,runattr,,,resultdir,results,,
General-0-20240511-23:09:54-104022,runattr,,,runnumber,0,,
General-0-20240511-23:09:54-104022,runattr,,,seedset,0,,
General-0-20240511-23:09:54-104022,config,,,network,Network,,
General-0-20240511-23:09:54-104022,config,,,sim-time-limit,200s,,
General-0-20240511-23:09:54-104022,config,,,Network.nodeTx.gen.generationInterval,exponential(1.6),,
General-0-20240511-23:09:54-104022,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20240511-23:09:54-104022,config,,,Network.queue0.bufferSize,200,,
General-0-20240511-23:09:54-104022,config,,,Network.queue1.bufferSize,200,,
General-0-20240511-23:09:54-104022,config,,,Network.nodeRx.traRx.bufferSize,200,,
General-0-20240511-23:09:54-104022,config,,,Network.nodeTx.traTx.bufferSize,2000000,,
General-0-20240511-23:09:54-104022,config,,,Network.nodeRx.traRx.bufferCota,0.5,,
General-0-20240511-23:09:54-104022,config,,,Network.queue0.bufferCota,0.8,,
General-0-20240511-23:09:54-104022,config,,,Network.queue1.bufferCota,1,,
General-0-20240511-23:09:54-104022,config,,,Network.queue0.serviceTime,exponential(0.001),,
General-0-20240511-23:09:54-104022,config,,,Network.queue1.serviceTime,exponential(0.001),,
General-0-20240511-23:09:54-104022,vector,Network.nodeTx.gen,packetSent,,,"0 2.009489212876 4.984855952195 6.462012962548 9.584485499963 10.844007323934 13.850349810658 14.73202738933 16.295237671559 17.956292552621 18.732497614576 19.653328329589 20.218382952209 23.776022027467 23.869437498016 29.173297145901 29.682666971248 30.456430339166 31.495544496367 34.005778284564 36.681316205084 37.885594786384 38.931806893938 40.274899458578 41.073094673003 45.230301210361 48.123692033201 48.241588601945 48.900113395933 49.045971037732 50.717351051025 50.750031992464 51.484829012072 54.344809273574 59.385081159455 61.794335973275 62.036305339139 65.300808151846 68.566235697305 74.718590687932 75.745325364217 78.313708655515 80.896111975343 81.886399110746 83.06234218465 85.488799743034 87.30630204977 87.507701104871 89.548065428429 91.182356427388 92.578070339455 92.825637828255 94.058973281803 98.690046046582 100.964229534732 102.144753201541 102.323867058553 103.180772210918 104.207483734168 104.699132297612 105.029057548861 107.410265270064 109.546729565462 110.521261442555 110.911739027733 112.256274556713 112.488719400381 112.519069111103 113.145902408186 114.684111910691 114.943530293805 116.458724977285 116.861032068605 118.396308832394 119.178000111287 123.782664145331 127.508925544074 129.341147871594 130.297541594503 131.010371186585 132.52956252018 133.448814370966 137.170976069677 139.084748548808 139.252046510048 139.351430974794 144.951772869921 146.710032818003 148.404167428383 150.181123341483 150.481005047112 150.858935776844 151.568382222637 151.789228124123 154.011696427789 154.618035570641 156.115734066275 156.839097362634 157.468077454321 158.819161923965 158.881854974226 159.805573871516 161.414967479782 168.542162433664 173.65087706095 173.823093234 175.515615495364 175.890497925405 177.503328718077 177.784790390758 186.360950951147 188.054939295298 189.450004661099 189.917333514327 190.77343699766 191.778143527246 192.80819312981 193.256636343376 194.819618861889 195.096622791723 195.756624759599 195.943753415267 197.74082269772 199.449738213159","0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123"
