run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20240511-23:46:13-109097,runattr,,,configname,General,,
General-0-20240511-23:46:13-109097,runattr,,,datetime,20240511-23:46:13,,
General-0-20240511-23:46:13-109097,runattr,,,datetimef,20240511-234613,,
General-0-20240511-23:46:13-109097,runattr,,,experiment,General,,
General-0-20240511-23:46:13-109097,runattr,,,inifile,omnetpp.ini,,
General-0-20240511-23:46:13-109097,runattr,,,iterationvars,,,
General-0-20240511-23:46:13-109097,runattr,,,iterationvarsd,,,
General-0-20240511-23:46:13-109097,runattr,,,iterationvarsf,,,
General-0-20240511-23:46:13-109097,runattr,,,measurement,,,
General-0-20240511-23:46:13-109097,runattr,,,network,Network,,
General-0-20240511-23:46:13-109097,runattr,,,processid,109097,,
General-0-20240511-23:46:13-109097,runattr,,,repetition,0,,
General-0-20240511-23:46:13-109097,runattr,,,replication,#0,,
General-0-20240511-23:46:13-109097,runattr,,,resultdir,results,,
General-0-20240511-23:46:13-109097,runattr,,,runnumber,0,,
General-0-20240511-23:46:13-109097,runattr,,,seedset,0,,
General-0-20240511-23:46:13-109097,config,,,network,Network,,
General-0-20240511-23:46:13-109097,config,,,sim-time-limit,200s,,
General-0-20240511-23:46:13-109097,config,,,Network.nodeTx.gen.generationInterval,exponential(3.2),,
General-0-20240511-23:46:13-109097,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20240511-23:46:13-109097,config,,,Network.queue0.bufferSize,200,,
General-0-20240511-23:46:13-109097,config,,,Network.queue1.bufferSize,200,,
General-0-20240511-23:46:13-109097,config,,,Network.nodeRx.traRx.bufferSize,200,,
General-0-20240511-23:46:13-109097,config,,,Network.nodeTx.traTx.bufferSize,2000000,,
General-0-20240511-23:46:13-109097,config,,,Network.nodeRx.traRx.bufferCota,0.5,,
General-0-20240511-23:46:13-109097,config,,,Network.queue0.bufferCota,0.8,,
General-0-20240511-23:46:13-109097,config,,,Network.queue1.bufferCota,1,,
General-0-20240511-23:46:13-109097,config,,,Network.queue0.serviceTime,exponential(0.001),,
General-0-20240511-23:46:13-109097,config,,,Network.queue1.serviceTime,exponential(0.001),,
General-0-20240511-23:46:13-109097,vector,Network.nodeTx.gen,packetSent,,,"0 4.018978425752 9.969711904391 12.924025925098 19.168970999928 21.68801464787 27.700699621319 29.464054778664 32.590475343123 35.912585105247 37.464995229156 39.306656659182 40.436765904422 47.552044054938 47.738874996036 58.346594291807 59.365333942501 60.912860678336 62.991088992739 68.011556569133 73.362632410173 75.771189572774 77.863613787882 80.549798917163 82.146189346014 90.460602420731 96.247384066411 96.483177203899 97.800226791875 98.091942075473 101.434702102059 101.500063984936 102.969658024153 108.689618547157 118.77016231892 123.58867194656 124.072610678288 130.601616303702 137.13247139462 149.437181375874 151.490650728444 156.627417311041 161.792223950697 163.772798221502 166.124684369309 170.977599486078 174.612604099551 175.015402209753 179.096130856869 182.364712854786 185.156140678921 185.651275656521 188.117946563616 197.380092093175","0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53"
General-0-20240511-23:46:13-109097,vector,Network.nodeTx.traTx,BufferSizeVector,,,"0 4.018978425752 9.969711904391 12.924025925098 19.168970999928 21.68801464787 27.700699621319 29.464054778664 32.590475343123 35.912585105247 37.464995229156 39.306656659182 40.436765904422 47.552044054938 47.738874996036 58.346594291807 59.365333942501 60.912860678336 62.991088992739 68.011556569133 73.362632410173 75.771189572774 77.863613787882 80.549798917163 82.146189346014 90.460602420731 96.247384066411 96.483177203899 97.800226791875 98.091942075473 101.434702102059 101.500063984936 102.969658024153 108.689618547157 118.77016231892 123.58867194656 124.072610678288 130.601616303702 137.13247139462 149.437181375874 151.490650728444 156.627417311041 161.792223950697 163.772798221502 166.124684369309 170.977599486078 174.612604099551 175.015402209753 179.096130856869 182.364712854786 185.156140678921 185.651275656521 188.117946563616 197.380092093175","0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
General-0-20240511-23:46:13-109097,vector,Network.nodeTx.traTx,PacketDropVector,,,"0","0"
General-0-20240511-23:46:13-109097,vector,Network.nodeTx.traTx,ReceiveFeedbackVector,,,"0 4.219178425752 10.169911904391 13.124225925098 19.369170999928 21.88821464787 27.900899621319 29.664254778664 32.790675343123 36.112785105247 37.665195229156 39.506856659182 40.636965904422 47.752244054938 47.952244054938 58.546794291807 59.565533942501 61.113060678336 63.191288992739 68.211756569133 73.562832410173 75.971389572774 78.063813787882 80.749998917163 82.346389346014 90.660802420731 96.447584066411 96.683377203899 98.000426791875 98.292142075473 101.634902102059 101.834902102059 103.169858024153 108.889818547157 118.97036231892 123.78887194656 124.272810678288 130.801816303702 137.33267139462 149.637381375874 151.690850728444 156.827617311041 161.992423950697 163.972998221502 166.324884369309 171.177799486078 174.812804099551 175.215602209753 179.296330856869 182.564912854786 185.356340678921 185.851475656521 188.318146563616 197.580292093175","0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
General-0-20240511-23:46:13-109097,vector,Network.queue0,BufferSizeVector,,,"0 4.119078425752 10.069811904391 13.024125925098 19.269070999928 21.78811464787 27.800799621319 29.564154778664 32.690575343123 36.012685105247 37.565095229156 39.406756659182 40.536865904422 47.652144054938 47.838974996036 58.446694291807 59.465433942501 61.012960678336 63.091188992739 68.111656569133 73.462732410173 75.871289572774 77.963713787882 80.649898917163 82.246289346014 90.560702420731 96.347484066411 96.583277203899 97.900326791875 98.192042075473 101.534802102059 101.634802102059 103.069758024153 108.789718547157 118.87026231892 123.68877194656 124.172710678288 130.701716303702 137.23257139462 149.537281375874 151.590750728444 156.727517311041 161.892323950697 163.872898221502 166.224784369309 171.077699486078 174.712704099551 175.115502209753 179.196230856869 182.464812854786 185.256240678921 185.751375656521 188.218046563616 197.480192093175","0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
General-0-20240511-23:46:13-109097,vector,Network.queue0,PacketDropVector,,,"0","0"
General-0-20240511-23:46:13-109097,vector,Network.queue0,FeedbackVector,,,"0","0"
