run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20240512-00:19:53-115195,runattr,,,configname,General,,
General-0-20240512-00:19:53-115195,runattr,,,datetime,20240512-00:19:53,,
General-0-20240512-00:19:53-115195,runattr,,,datetimef,20240512-001953,,
General-0-20240512-00:19:53-115195,runattr,,,experiment,General,,
General-0-20240512-00:19:53-115195,runattr,,,inifile,omnetpp.ini,,
General-0-20240512-00:19:53-115195,runattr,,,iterationvars,,,
General-0-20240512-00:19:53-115195,runattr,,,iterationvarsd,,,
General-0-20240512-00:19:53-115195,runattr,,,iterationvarsf,,,
General-0-20240512-00:19:53-115195,runattr,,,measurement,,,
General-0-20240512-00:19:53-115195,runattr,,,network,Network,,
General-0-20240512-00:19:53-115195,runattr,,,processid,115195,,
General-0-20240512-00:19:53-115195,runattr,,,repetition,0,,
General-0-20240512-00:19:53-115195,runattr,,,replication,#0,,
General-0-20240512-00:19:53-115195,runattr,,,resultdir,results,,
General-0-20240512-00:19:53-115195,runattr,,,runnumber,0,,
General-0-20240512-00:19:53-115195,runattr,,,seedset,0,,
General-0-20240512-00:19:53-115195,config,,,network,Network,,
General-0-20240512-00:19:53-115195,config,,,sim-time-limit,200s,,
General-0-20240512-00:19:53-115195,config,,,Network.nodeTx.gen.generationInterval,exponential(1.6),,
General-0-20240512-00:19:53-115195,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20240512-00:19:53-115195,config,,,Network.queue.bufferSize,200,,
General-0-20240512-00:19:53-115195,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20240512-00:19:53-115195,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20240512-00:19:53-115195,config,,,Network.queue.serviceTime,exponential(0.001),,
General-0-20240512-00:19:53-115195,config,,,Network.nodeTx.queue.serviceTime,exponential(0.001),,
General-0-20240512-00:19:53-115195,config,,,Network.nodeRx.queue.serviceTime,exponential(0.001),,
General-0-20240512-00:19:53-115195,vector,Network.nodeTx.gen,packetSent,,,"0 2.975366739319 4.452523749672 7.574996287087 8.834518111058 11.840860597782 12.722538176454 14.285748458683 15.946803339745 16.7230084017 17.643839116713 18.208893739333 21.766532814591 21.85994828514 27.163807933025 27.673177758372 28.44694112629 29.486055283491 31.996289071688 34.671826992208 35.876105573508 36.922317681062 38.265410245702 39.063605460127 43.220811997485 46.114202820325 46.232099389069 46.890624183057 47.036481824856 48.707861838149 48.740542779588 49.475339799196 52.335320060698 57.375591946579 59.784846760399 60.026816126263 63.29131893897 66.556746484429 72.709101475056 73.735836151341 76.304219442639 78.886622762467 79.87690989787 81.052852971774 83.479310530158 85.296812836894 85.498211891995 87.538576215553 89.172867214512 90.568581126579 90.816148615379 92.049484068927 96.680556833706 98.954740321856 100.135263988665 100.314377845677 101.171282998042 102.197994521292 102.689643084736 103.019568335985 105.400776057188 107.537240352586 108.511772229679 108.902249814857 110.246785343837 110.479230187505 110.509579898227 111.13641319531 112.674622697815 112.934041080929 114.449235764409 114.851542855729 116.386819619518 117.168510898411 121.773174932455 125.499436331198 127.331658658718 128.288052381627 129.000881973709 130.520073307304 131.43932515809 135.161486856801 137.075259335932 137.242557297172 137.341941761918 142.942283657045 144.700543605127 146.394678215507 148.171634128607 148.471515834236 148.849446563968 149.558893009761 149.779738911247 152.002207214913 152.608546357765 154.106244853399 154.829608149758 155.458588241445 156.809672711089 156.87236576135 157.79608465864 159.405478266906 166.532673220788 171.641387848074 171.813604021124 173.506126282488 173.881008712529 175.493839505201 175.775301177882 184.351461738271 186.045450082422 187.440515448223 187.907844301451 188.763947784784 189.76865431437 190.798703916934 191.2471471305 192.810129649013 193.087133578847 193.747135546723 193.934264202391 195.731333484844 197.440249000283 198.050738349682 198.288677980485","0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124"
General-0-20240512-00:19:53-115195,vector,Network.nodeTx.queue,BufferSizeVector,,,"0 2.975366739319 4.452523749672 7.574996287087 8.834518111058 11.840860597782 12.722538176454 14.285748458683 15.946803339745 16.7230084017 17.643839116713 18.208893739333 21.766532814591 21.85994828514 27.163807933025 27.673177758372 28.44694112629 29.486055283491 31.996289071688 34.671826992208 35.876105573508 36.922317681062 38.265410245702 39.063605460127 43.220811997485 46.114202820325 46.232099389069 46.890624183057 47.036481824856 48.707861838149 48.740542779588 49.475339799196 52.335320060698 57.375591946579 59.784846760399 60.026816126263 63.29131893897 66.556746484429 72.709101475056 73.735836151341 76.304219442639 78.886622762467 79.87690989787 81.052852971774 83.479310530158 85.296812836894 85.498211891995 87.538576215553 89.172867214512 90.568581126579 90.816148615379 92.049484068927 96.680556833706 98.954740321856 100.135263988665 100.314377845677 101.171282998042 102.197994521292 102.689643084736 103.019568335985 105.400776057188 107.537240352586 108.511772229679 108.902249814857 110.246785343837 110.479230187505 110.509579898227 111.13641319531 112.674622697815 112.934041080929 114.449235764409 114.851542855729 116.386819619518 117.168510898411 121.773174932455 125.499436331198 127.331658658718 128.288052381627 129.000881973709 130.520073307304 131.43932515809 135.161486856801 137.075259335932 137.242557297172 137.341941761918 142.942283657045 144.700543605127 146.394678215507 148.171634128607 148.471515834236 148.849446563968 149.558893009761 149.779738911247 152.002207214913 152.608546357765 154.106244853399 154.829608149758 155.458588241445 156.809672711089 156.87236576135 157.79608465864 159.405478266906 166.532673220788 171.641387848074 171.813604021124 173.506126282488 173.881008712529 175.493839505201 175.775301177882 184.351461738271 186.045450082422 187.440515448223 187.907844301451 188.763947784784 189.76865431437 190.798703916934 191.2471471305 192.810129649013 193.087133578847 193.747135546723 193.934264202391 195.731333484844 197.440249000283 198.050738349682 198.288677980485","0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
General-0-20240512-00:19:53-115195,vector,Network.nodeTx.queue,PacketDropVector,,,"0","0"
General-0-20240512-00:19:53-115195,vector,Network.queue,BufferSizeVector,,,"0 3.075466739319 4.552623749672 7.675096287087 8.934618111058 11.940960597782 12.822638176454 14.385848458683 16.046903339745 16.8231084017 17.743939116713 18.308993739333 21.866632814591 21.967531374979 27.263907933025 27.773277758372 28.54704112629 29.586155283491 32.096389071688 34.771926992208 35.976205573508 37.022417681062 38.365510245702 39.163705460127 43.320911997485 46.214302820325 46.332199389069 46.990724183057 47.136581824856 48.807961838149 48.908860398537 49.575439799196 52.435420060698 57.475691946579 59.884946760399 60.126916126263 63.39141893897 66.656846484429 72.809201475056 73.835936151341 76.404319442639 78.986722762467 79.97700989787 81.152952971774 83.579410530158 85.396912836894 85.598311891995 87.638676215553 89.272967214512 90.668681126579 90.916248615379 92.149584068927 96.780656833706 99.054840321856 100.235363988665 100.414477845677 101.271382998042 102.298094521292 102.789743084736 103.119668335985 105.500876057188 107.637340352586 108.611872229679 109.002349814857 110.346885343837 110.579330187505 110.680228747893 111.23651319531 112.774722697815 113.034141080929 114.549335764409 114.951642855729 116.486919619518 117.268610898411 121.873274932455 125.599536331198 127.431758658718 128.388152381627 129.100981973709 130.620173307304 131.53942515809 135.261586856801 137.175359335932 137.342657297172 137.44355585756 143.042383657045 144.800643605127 146.494778215507 148.271734128607 148.571615834236 148.949546563968 149.658993009761 149.879838911247 152.102307214913 152.708646357765 154.206344853399 154.929708149758 155.558688241445 156.909772711089 157.010671271477 157.89618465864 159.505578266906 166.632773220788 171.741487848074 171.913704021124 173.606226282488 173.981108712529 175.593939505201 175.875401177882 184.451561738271 186.145550082422 187.540615448223 188.007944301451 188.864047784784 189.86875431437 190.898803916934 191.3472471305 192.910229649013 193.187233578847 193.847235546723 194.034364202391 195.831433484844 197.540349000283 198.150838349682 198.388777980485","0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
General-0-20240512-00:19:53-115195,vector,Network.queue,PacketDropVector,,,"0","0"
General-0-20240512-00:19:53-115195,vector,Network.nodeRx.queue,BufferSizeVector,,,"0 3.175566739319 4.652723749672 7.775196287087 9.034718111058 12.041060597782 12.922738176454 14.485948458683 16.147003339745 16.9232084017 17.844039116713 18.409093739333 21.966732814591 22.067631374979 27.364007933025 27.873377758372 28.64714112629 29.686255283491 32.196489071688 34.872026992208 36.076305573508 37.122517681062 38.465610245702 39.263805460127 43.421011997485 46.314402820325 46.432299389069 47.090824183057 47.236681824856 48.908061838149 49.008960398537 49.675539799196 52.535520060698 57.575791946579 59.985046760399 60.227016126263 63.49151893897 66.756946484429 72.909301475056 73.936036151341 76.504419442639 79.086822762467 80.07710989787 81.253052971774 83.679510530158 85.497012836894 85.698411891995 87.738776215553 89.373067214512 90.768781126579 91.016348615379 92.249684068927 96.880756833706 99.154940321856 100.335463988665 100.514577845677 101.371482998042 102.398194521292 102.889843084736 103.219768335985 105.600976057188 107.737440352586 108.711972229679 109.102449814857 110.446985343837 110.679430187505 110.780328747893 111.33661319531 112.874822697815 113.134241080929 114.649435764409 115.051742855729 116.587019619518 117.368710898411 121.973374932455 125.699636331198 127.531858658718 128.488252381627 129.201081973709 130.720273307304 131.63952515809 135.361686856801 137.275459335932 137.442757297172 137.54365585756 143.142483657045 144.900743605127 146.594878215507 148.371834128607 148.671715834236 149.049646563968 149.759093009761 149.979938911247 152.202407214913 152.808746357765 154.306444853399 155.029808149758 155.658788241445 157.009872711089 157.110771271477 157.99628465864 159.605678266906 166.732873220788 171.841587848074 172.013804021124 173.706326282488 174.081208712529 175.694039505201 175.975501177882 184.551661738271 186.245650082422 187.640715448223 188.108044301451 188.964147784784 189.96885431437 190.998903916934 191.4473471305 193.010329649013 193.287333578847 193.947335546723 194.134464202391 195.931533484844 197.640449000283 198.250938349682 198.488877980485","0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
General-0-20240512-00:19:53-115195,vector,Network.nodeRx.queue,PacketDropVector,,,"0","0"
